             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          -0.135         0.000208             40.5           0.0297             38.5             8.33             2.09
               1          -0.168         0.000159             37.8           0.0183             39.3                9             2.15
               2          -0.164         0.000202             38.1           0.0353               38             7.42             2.04
               3          -0.184         6.52e-05             37.5           0.0329             39.1             9.67             2.13
               4          -0.174         1.52e-05             36.2           0.0139             37.7             7.84             2.01
               5          -0.173         4.24e-06             36.1           0.0119             37.9              7.8             2.03
               6          -0.176         7.49e-05               36           0.0132             35.7             6.53             1.85
               7          -0.164         7.45e-05             35.7          0.00912             36.2             8.25              1.9
               8          -0.174         2.06e-05             36.2           0.0111             36.2             7.95             1.89
               9          -0.148         7.47e-14               36          0.00182             36.7             8.37             1.93
              10          -0.131         1.69e-13             35.5         -0.00221             35.5             6.26             1.84
              11           -0.13          1.6e-12             35.8        -9.02e-05             37.3             7.05             1.99
              12          -0.134         2.02e-11             36.6          0.00541             40.2              9.8             2.21
              13          -0.129         3.84e-14             36.9           0.0411             41.8             12.4             2.33
              14          -0.127         1.03e-10             38.4           0.0218             41.5             7.38             2.33
              15          -0.107         2.51e-12             37.8          0.00879             43.2             8.18             2.48
              16         -0.0992         5.17e-13             37.2         -0.00369             42.9             6.99             2.45
              17         -0.0777         6.73e-14             37.2         -0.00861             43.2             8.01             2.49
              18         -0.0955         3.43e-14               37         -0.00742             43.1             7.73             2.47
              19          -0.102         6.86e-15             36.7         -0.00968             40.9             7.51             2.28
              20          -0.123         2.25e-16             36.2         -0.00598             38.2              5.5             2.08
              21          -0.123         2.44e-16             36.1         -0.00524               38             6.18             2.06
              22          -0.137         4.16e-15             35.8         0.000165               38             6.57             2.06
              23          -0.137          1.6e-14             35.9         -0.00194             38.2             6.86             2.07
              24          -0.124         6.28e-15             35.9          -0.0106               39             7.17             2.13
              25          -0.114          7.7e-16             36.2         -0.00465             38.6             6.59             2.11
              26          -0.118         2.02e-17             35.5         -0.00947             37.6             6.55             2.02
              27          -0.121         1.51e-15             35.3         -0.00564               37              7.4             1.96
              28           -0.12         1.13e-16             35.1         -0.00987             36.1             7.11             1.89
              29           -0.12         1.96e-14               35         -0.00788             35.7              5.8             1.87
              30          -0.125         3.36e-17             34.9          0.00312             35.6             6.29             1.86
              31          -0.131         6.39e-18             35.7           0.0134             36.7             8.07             1.94
              32          -0.136         4.49e-18             36.6          0.00831             38.1             8.05             2.05
              33          -0.145         2.36e-14             36.6         0.000671             39.2             8.93             2.14
              34          -0.146         2.14e-13             36.9         -0.00365             39.6             8.74             2.18
              35          -0.147         3.52e-13             36.4         -0.00389             37.7             7.32             2.02
              36          -0.151         9.03e-14               36          -0.0011               37             8.02             1.97
              37           -0.15         1.86e-15               36         -0.00102             37.7             8.77             2.02
              38          -0.145         5.11e-15             35.9         -0.00428             37.3              8.1             1.99
              39          -0.138         5.58e-14               36         -0.00681             37.9             7.41             2.04
              40          -0.121          1.6e-15             35.3           -0.017             36.7             7.91             1.94
              41          -0.132         4.31e-15             35.2           -0.012             36.2             7.87              1.9
              42          -0.142         2.59e-14             34.8         -0.00752               35             6.83             1.81
              43          -0.139         4.73e-18             34.6           -0.008             34.9             6.93             1.79
              44           -0.14          3.3e-16             34.7         -0.00383             34.7             6.82             1.78
              45          -0.133          6.3e-14             34.6         -0.00768               35             6.81             1.81
              46          -0.135         1.58e-16             34.6         -0.00728             35.7             8.37             1.86
              47          -0.132         1.35e-17             34.5         -0.00796               35             7.24             1.81
              48          -0.117          6.4e-17             34.5          -0.0106             35.9             8.29             1.87
              49          -0.109          3.6e-15             34.6          -0.0109             35.4             6.37             1.84
              50         -0.0995         5.88e-15             34.7         -0.00958             35.4             5.77             1.85
              51         -0.0803         1.99e-15             34.3          -0.0108             35.5             5.91             1.85
              52         -0.0799         1.18e-14             33.8          -0.0161             34.8             5.08              1.8
              53          -0.091         1.19e-17             33.4          -0.0196             34.9             5.84             1.81
              54          -0.126         3.25e-20             33.5          -0.0115             33.9             4.66             1.73
              55          -0.135         2.54e-20             33.5         -0.00685             33.3             4.65             1.68
              56          -0.147         6.18e-19             33.7        -0.000291             34.2             6.29             1.75
              57          -0.148         9.14e-16             33.8          0.00186             34.2             6.47             1.75
              58          -0.148         4.96e-17             33.9         -0.00134             34.6             6.33             1.78
              59          -0.148         8.57e-17               34         -0.00106             34.2                6             1.75
              60          -0.147         9.37e-17             33.8         -0.00706             34.2             6.09             1.75
              61          -0.151         3.52e-18             33.8         -0.00574             34.5             6.39             1.77
              62          -0.164         9.13e-21             34.1         0.000431             35.1             7.07             1.82
              63          -0.155         6.92e-19             34.2         0.000419             35.2             6.67             1.83
              64          -0.148         4.77e-19             34.4         -0.00704             36.3             6.89             1.91
