             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            0.15           0.0619             7.31           -0.018             8.13             3.39            0.971
               1          0.0582           0.0756             7.07         -0.00757             8.69             4.07             1.12
               2          0.0508            0.092             7.09         -0.00835             9.12             4.55             1.22
               3          0.0359            0.103              7.2         -0.00559             9.81             4.55              1.4
               4          0.0196            0.109              7.3         -0.00415             9.49             4.33             1.33
               5          0.0227            0.112             7.28         -0.00397             9.21             4.07             1.25
               6          0.0186            0.113             7.31         -0.00444             8.95             3.97             1.19
               7          0.0194            0.114             7.23         -0.00394              9.4             4.37              1.3
               8          0.0146            0.114             7.26         -0.00386             9.22             4.27             1.25
               9          0.0161            0.117             7.27           -0.004             9.86             4.67             1.41
              10          0.0156            0.119             7.31         -0.00475             9.56             4.47             1.34
              11          0.0185            0.117             7.25         -0.00494             10.9             5.06             1.68
              12          0.0189            0.119             7.28          -0.0042             10.3             4.82             1.53
              13          0.0112            0.118             7.23         -0.00521               10             4.66             1.46
              14          0.0218            0.114             7.18         -0.00442             10.4             4.81             1.56
              15          0.0166            0.119             7.26         -0.00502             10.3             4.82             1.51
              16          0.0201            0.123             7.17         -0.00422             10.8             5.14             1.65
              17          0.0156             0.12             7.18         -0.00437             10.4             4.96             1.56
              18          0.0155            0.127             7.28         -0.00402             10.6             5.16             1.61
              19          0.0185            0.131             7.22          -0.0056             10.1             4.71             1.49
              20          0.0173             0.13             7.19         -0.00396             10.2             4.81             1.51
              21          0.0162            0.125             7.18         -0.00419             11.1             5.22             1.74
              22          0.0192            0.127             7.18         -0.00564             11.1             5.34             1.72
              23          0.0186            0.127             7.21         -0.00508             10.5             5.02             1.57
              24          0.0136            0.124             7.14         -0.00445               10             4.33             1.47
              25          0.0174            0.121             7.14         -0.00464             10.4             4.76             1.57
              26          0.0169            0.124             7.19         -0.00454              9.6             4.25             1.35
              27          0.0191            0.133             7.22         -0.00499             9.88             4.15             1.42
              28          0.0185            0.129             7.25         -0.00458             10.1             4.52             1.47
              29          0.0186            0.131              7.2         -0.00535             9.73             4.34             1.37
              30          0.0186            0.129             7.15         -0.00505              9.8             4.41              1.4
              31          0.0174             0.13             7.18         -0.00442             9.83             4.25             1.41
              32          0.0166             0.13             7.21         -0.00434             8.92             3.24             1.18
              33          0.0269            0.137             7.23         -0.00558             9.15             3.91             1.24
              34          0.0296            0.137             7.11         -0.00743              9.4              3.9              1.3
              35          0.0276            0.142              7.2         -0.00426             9.32             3.85             1.27
              36          0.0332            0.145             7.36         -0.00753             9.43             3.99              1.3
              37          0.0303            0.141             7.24         -0.00583             8.89             3.65             1.17
              38          0.0387             0.13             7.18         -0.00751             8.42             3.45             1.05
              39          0.0336            0.136             7.33         -0.00888             9.32             3.98             1.29
              40          0.0389            0.128             7.18         -0.00746             9.04             3.71              1.2
              41          0.0419            0.123              7.1         -0.00833             9.13             4.07             1.23
              42          0.0349            0.121             7.04         -0.00667             8.75              3.6             1.14
              43          0.0323            0.122             6.98          -0.0036             9.15             4.12             1.24
              44          0.0481            0.116             6.98         -0.00631             9.31             4.16             1.28
              45          0.0391            0.116             7.02         -0.00437              8.6             3.37              1.1
              46          0.0379            0.121             6.98         -0.00284              8.5             3.37             1.07
              47          0.0416            0.113             6.95          -0.0056             8.38              3.1             1.04
              48          0.0428            0.112                7         -0.00397             7.97             2.64            0.944
              49          0.0454            0.179             8.36         -0.00148             8.46             3.11             1.07
              50          0.0251            0.123             6.92         -0.00161             8.98              3.8             1.19
              51          0.0406             0.21             8.79         -0.00928             9.29             4.06             1.26
              52          0.0196            0.124             6.91          -0.0022             9.24             3.94             1.26
              53          0.0345            0.126             7.08         -0.00415             9.14             3.84             1.23
              54          0.0391            0.117             7.02         -0.00502             9.05             3.98             1.21
              55           0.038            0.113             6.95         -0.00341             8.82             3.71             1.15
              56          0.0431            0.107              6.9         -0.00368              8.5             3.22             1.07
              57          0.0439            0.103             6.91        -3.95e-05             8.57             3.52             1.09
              58          0.0352            0.156              7.9         -0.00365             8.88              3.8             1.17
              59          0.0257            0.119             6.86          -0.0017             8.64             3.77             1.11
              60          0.0395             0.11             6.95         -0.00506             8.41             3.44             1.05
              61          0.0321            0.108             6.94         -0.00188             8.62             3.62              1.1
              62          0.0324            0.107             6.92        -0.000841             8.76             3.86             1.14
              63          0.0382            0.107              6.9         -0.00138             8.57             3.51             1.09
              64          0.0361            0.108             6.92        -0.000832             8.85              3.9             1.16
              65          0.0386            0.106             6.92         0.000263             8.46             3.49             1.06
              66          0.0363            0.102             6.89          0.00315             8.35             3.21             1.03
              67          0.0383            0.101             6.89          0.00044             8.76             3.58             1.14
              68          0.0381              0.1             6.86          0.00106             8.36              3.2             1.04
              69          0.0372           0.0977             6.85          0.00075             8.84             3.63             1.16
              70          0.0318           0.0996             6.87          0.00064             8.71             3.81             1.12
              71          0.0274            0.102             6.87          0.00157             8.57             3.49             1.09
              72          0.0378            0.103             6.87         0.000862             8.64              3.5             1.11
              73          0.0332            0.103             6.91        -0.000789             8.39             3.22             1.04
              74           0.011            0.097             6.85          0.00213             8.67              3.6             1.11
              75         0.00992            0.099             6.88         0.000881             8.42             3.29             1.06
              76          0.0337            0.099             6.87          0.00377             8.73             3.52             1.13
              77          0.0365            0.101             6.88         0.000659             8.81             3.77             1.15
