             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
              78          0.0342            0.101             6.87           0.0011             8.56             3.57             1.09
              79          0.0337           0.0998             6.85          0.00128             8.47             3.51             1.06
              80          0.0319            0.101             6.88          0.00172             8.45             3.39             1.06
              81          0.0343           0.0969             6.86          0.00306             8.27             3.29             1.02
              82          0.0366           0.0974             6.85          0.00142             8.75             3.68             1.14
              83          0.0294           0.0973             6.85          0.00564             8.72             3.76             1.13
              84          0.0328            0.096             6.86          0.00101              8.7              3.6             1.13
              85          0.0288           0.0971             6.85          0.00253             8.43             3.39             1.06
              86          0.0334            0.098             6.86          0.00182             9.06             3.97             1.22
              87          0.0315           0.0992             6.87          0.00212              8.6             3.55             1.09
              88          0.0308           0.0993             6.87          0.00348             8.38             3.34             1.04
              89          0.0287            0.099             6.85         0.000756             8.45              3.3             1.06
              90          0.0309            0.101             6.86          0.00203             8.86             3.87             1.16
              91          0.0299              0.1             6.86          0.00203             8.53             3.45             1.08
              92          0.0299           0.0964             6.85          0.00357             8.84             3.68             1.16
              93          0.0313           0.0977             6.86          0.00125             9.08             3.87             1.22
              94          0.0298           0.0958             6.88          0.00139             8.38             3.29             1.04
              95          0.0313           0.0949             6.86          0.00216             9.08             3.88             1.22
              96           0.032           0.0949             6.86          0.00328             8.35             3.46             1.04
              97          0.0319           0.0963             6.86          0.00345             8.77              3.7             1.14
              98          0.0289           0.0967             6.86          0.00233             8.63             3.68             1.11
              99          0.0289           0.0964             6.87          0.00306             8.98             3.96             1.19
